"","Method","Items","Mean_Utility","SD_Utility","Mean_Time_ms","SD_Time_ms"
"1","FPA",10,0.505503,0.015305301148401,0.760000000009313,10.4944048192516
"2","FPA",15,0.488514,0.0153549854959091,0.429999999818392,2.70599749037531
"3","FPA",20,0.479898,0.0149926774252092,0.619999999995343,3.19778451889444
"4","FPA",25,0.477482,0.0145650890082353,0.300000000162981,2.17133938363057
"5","FPA",30,0.475928,0.0156702384274258,0.530000000144355,2.97118291893143
"6","FPA",35,0.475097,0.0152826421194161,0.569999999599531,3.06341059562544
"7","FPA",40,0.475108,0.0147751358924593,0.689999999827705,3.44031041234221
"8","FPA",45,0.476052,0.0148288634490709,0.669999999692664,3.44426522831827
"9","FPA",50,0.47671,0.0148453455427714,0.479999999864958,2.6413209907444
"10","FPA",55,0.479012,0.0147686820661144,0.839999999967404,3.78268538388072
"11","FPA",60,0.480171,0.0142589998975411,0.749999999650754,3.45679757010029
"12","FPA",65,0.480649,0.01432525783405,0.900000000139698,3.87362943674751
"13","FPA",70,0.482679,0.014116913481574,1.05999999970663,4.20643484237622
"14","FPA",75,0.484514,0.0148013811816629,1.0499999995809,4.10052610063115
"15","FPA",80,0.486473,0.0148823639169238,1.13000000000466,4.152148883031
"16","FPA",85,0.488749,0.0144126237279242,0.969999999389984,3.97175966861608
"17","FPA",90,0.49037,0.0139888808983703,1.17000000015832,4.30693042182189
"18","FPA",95,0.492272,0.0149733168074484,1.23999999987427,4.39109117283468
"19","FPA",100,0.493732,0.014935301779316,0.990000000107102,3.91602288579984
"20","FPA+Greedy",10,0.51497,0.0117798924386374,9.96999999962281,12.9563485216978
"21","FPA+Greedy",15,0.500256,0.0124117087669069,13.9000000016531,7.05973370023925
"22","FPA+Greedy",20,0.493561,0.0119351886339399,18.0200000007171,7.10845483980245
"23","FPA+Greedy",25,0.492647,0.0115138594728249,21.8099999994738,8.73499858248649
"24","FPA+Greedy",30,0.492298,0.0121731418040447,25.4299999951618,8.90474000196258
"25","FPA+Greedy",35,0.49237,0.0119824320852938,29.9800000003306,5.62416494293675
"26","FPA+Greedy",40,0.493199,0.0120318811980989,35.1599999999162,7.86360199681175
"27","FPA+Greedy",45,0.495207,0.0117497322185319,38.8700000003446,8.84880791952505
"28","FPA+Greedy",50,0.496307,0.0119704654480535,43.4600000006612,7.99326544431928
"29","FPA+Greedy",55,0.498701,0.011818514131492,48.1300000003539,6.31212667125997
"30","FPA+Greedy",60,0.501225,0.0116622632187489,53.2199999996228,9.10574075077547
"31","FPA+Greedy",65,0.50265,0.0114193652144899,58.390000001411,8.26899488779118
"32","FPA+Greedy",70,0.504151,0.0121447805535833,64.1999999996042,6.70857698917403
"33","FPA+Greedy",75,0.506833,0.0123123801803594,69.9600000014761,9.27817248483639
"34","FPA+Greedy",80,0.509098,0.0122688598052517,74.9200000003912,8.06589479567896
"35","FPA+Greedy",85,0.51146,0.0119848252401124,80.7100000000792,7.07431594699641
"36","FPA+Greedy",90,0.514011,0.0120041233739902,87.2199999990407,10.0684146285899
"37","FPA+Greedy",95,0.515802,0.0124342030466534,92.9499999996042,7.52689539492668
"38","FPA+Greedy",100,0.517701,0.0121458272719531,98.3699999996461,8.52735691066561
"39","Greedy",10,0.506399,0.0139717933712895,9.61999999999534,9.38848996258616
"40","Greedy",15,0.490814,0.0134474621486078,13.7200000003213,7.01504175986813
"41","Greedy",20,0.481934,0.0133323439572866,17.9500000019325,7.29044928134974
"42","Greedy",25,0.477421,0.0132175058714366,21.850000000908,8.82923867377378
"43","Greedy",30,0.477723,0.0132271398355135,25.9999999995343,7.8779478326912
"44","Greedy",35,0.475806,0.0137142423941115,29.7299999990501,6.23425746196939
"45","Greedy",40,0.473689,0.0135337149534206,34.0600000001723,7.02607756047034
"46","Greedy",45,0.471685,0.0134780351844188,38.649999999674,8.76095053973314
"47","Greedy",50,0.471949,0.0140070909755594,43.7600000003586,7.83094655195939
"48","Greedy",55,0.473347,0.0136591054671293,48.4500000020489,6.41394097465203
"49","Greedy",60,0.473994,0.0140684001892143,53.0100000035018,8.80439762716184
"50","Greedy",65,0.473363,0.0140162650762136,58.4800000003306,8.50658346114322
"51","Greedy",70,0.475472,0.0140425214405536,63.7799999997951,6.33654100657503
"52","Greedy",75,0.475849,0.0143439865082532,69.4600000005448,9.31639390396046
"53","Greedy",80,0.476246,0.0143144118421396,75.0600000009872,7.91574754776732
"54","Greedy",85,0.476762,0.0140943253121959,80.1299999997718,6.98081886450256
"55","Greedy",90,0.477493,0.014295674776565,87.2499999991851,10.0218729819851
"56","Greedy",95,0.479269,0.0141356448546027,92.5099999997765,7.91596884246043
"57","Greedy",100,0.480353,0.014290227485999,98.229999999865,8.78887617741252
