"","Method","Items","Mean_Utility","SD_Utility","Mean_Time_ms","SD_Time_ms"
"1","FPA",10,0.5035,0.0169525481532686,2.00000000186265,6.32455532622696
"2","FPA",15,0.4836,0.0184523410137817,0,0
"3","FPA",20,0.4845,0.00953647966727998,0,0
"4","FPA",25,0.4755,0.0172385227518679,1.00000000093132,3.16227766311348
"5","FPA",30,0.4665,0.0153278975872245,0,0
"6","FPA",35,0.4718,0.0173576752155607,0,0
"7","FPA",40,0.4736,0.0171800918378091,2.00000000186265,6.32455532622696
"8","FPA",45,0.482,0.0142517055509546,1.00000000093132,3.16227766311348
"9","FPA",50,0.4819,0.0119485006032835,0,0
"10","FPA",55,0.4748,0.0131216530123982,0,0
"11","FPA",60,0.484,0.0122565175405668,0,0
"12","FPA",65,0.4789,0.0136743880626845,3.99999999208376,9.6609178049789
"13","FPA",70,0.4835,0.016140012391569,2.00000000186265,6.32455532622696
"14","FPA",75,0.484,0.0144683562761405,0,0
"15","FPA",80,0.4808,0.0229772834677112,3.99999999208376,8.43274041042677
"16","FPA",85,0.4893,0.0168987179000854,1.00000000093132,3.16227766311348
"17","FPA",90,0.484,0.00691214711777591,1.00000000093132,3.16227766311348
"18","FPA",95,0.4873,0.00838053299816506,0,0
"19","FPA",100,0.4885,0.013091557924437,2.00000000186265,6.32455532622696
"20","FPA+Greedy",10,0.5154,0.0148488682696322,12.0000000111759,10.3279555995051
"21","FPA+Greedy",15,0.4979,0.013771548771128,12.0000000111759,9.18936584328508
"22","FPA+Greedy",20,0.4946,0.0093476081313766,20.0000000069849,9.42809042460123
"23","FPA+Greedy",25,0.4901,0.0135683455144686,16.9999999925494,9.4868329811596
"24","FPA+Greedy",30,0.487,0.010077477638554,32.0000000181608,4.21637022362027
"25","FPA+Greedy",35,0.4903,0.010122033173012,29.9999999930151,4.71404521230061
"26","FPA+Greedy",40,0.4944,0.0163856305612231,34.9999999976717,8.498365871513
"27","FPA+Greedy",45,0.498,0.0125874717256661,35.999999998603,9.66091781033452
"28","FPA+Greedy",50,0.4962,0.013172361637577,40.0000000023283,9.42809045204058
"29","FPA+Greedy",55,0.4951,0.0102464085849086,47.9999999981374,6.32455535076946
"30","FPA+Greedy",60,0.5024,0.00969765149118304,54.0000000037253,9.66091783443478
"31","FPA+Greedy",65,0.5025,0.0156364957711119,66.0000000149012,20.6559111764665
"32","FPA+Greedy",70,0.5045,0.00645066749345455,63.0000000121072,10.5934990548115
"33","FPA+Greedy",75,0.5039,0.00701506315802725,69.9999999953434,9.42809042460123
"34","FPA+Greedy",80,0.5057,0.0127719310294968,71.999999997206,10.3279555644371
"35","FPA+Greedy",85,0.5132,0.0134643562374474,80.9999999939464,11.9721899836789
"36","FPA+Greedy",90,0.5103,0.00637791327769341,84.0000000200234,6.99205897581326
"37","FPA+Greedy",95,0.5147,0.0149074925233365,94.9999999953434,8.49836583346146
"38","FPA+Greedy",100,0.5155,0.0114624992426996,100,9.42809039716187
"39","Greedy",10,0.5025,0.0168407574387589,8.99999999674037,7.37864787884508
"40","Greedy",15,0.4872,0.0164370854404842,14.9999999790452,13.5400640155602
"41","Greedy",20,0.4817,0.0129619100101455,19.0000000060536,9.94428925507062
"42","Greedy",25,0.4775,0.0165411943677327,25,7.07106780015802
"43","Greedy",30,0.4731,0.0159335425369808,35.0000000209548,20.1384099394194
"44","Greedy",35,0.4749,0.0132199344426009,31.9999999832362,4.21637024202715
"45","Greedy",40,0.4719,0.0145865234606011,38.0000000004657,10.3279555794662
"46","Greedy",45,0.4719,0.00888756934650238,35.999999998603,9.66091783711258
"47","Greedy",50,0.4761,0.0233354760920887,43.0000000051223,8.23272601387007
"48","Greedy",55,0.4725,0.0142458570975721,46.9999999855645,4.83045893328423
"49","Greedy",60,0.482,0.0132245562832516,56.0000000055879,9.660917845146
"50","Greedy",65,0.4759,0.0127143838055784,64.00000002468,9.66091782907916
"51","Greedy",70,0.4724,0.0132178330716919,65.0000000023283,5.27046278412705
"52","Greedy",75,0.4728,0.0166453196624957,78.000000002794,7.8881063815329
"53","Greedy",80,0.4807,0.0101767709351575,77.9999999911524,11.352924215786
"54","Greedy",85,0.4709,0.0177729507335664,76.0000000009313,6.99205902391225
"55","Greedy",90,0.4642,0.0123540366772251,81.9999999715947,7.8881063815329
"56","Greedy",95,0.4797,0.0158047109713809,91.0000000032596,8.75595037620474
"57","Greedy",100,0.4783,0.0113631959510616,102.000000013504,7.88810637497364
